nbd_unexpected_write_count,nbd_mean_response_time_ms,nbd_std_response_time_ms,nbd_distinct_sources_count,nbd_fc3_read_count,nbd_fc6_write_count,nbd_fc16_write_count,nbd_error_count,nbd_traffic_volume,nbd_modbus_anomaly_rate,pcd_max_lnr,pcd_is_target_rtu_max_lnr,pcd_chi2_statistic,pcd_chi2_ratio,pcd_chi2_failed,pcd_target_rtu_v_residual,pcd_target_rtu_p_residual,pcd_target_rtu_is_flagged,pcd_global_bad_data_flag,pcd_voltage_pu_reported,pcd_voltage_dev_nominal,pcd_p_mw_reported,pcd_status_code,pcd_physics_network_disagreement_index,pcd_temporal_dv_dt_3tick,pcd_temporal_dp_dt_3tick,pcd_temporal_dq_dt_3tick,pcd_cross_rtu_voltage_divergence,tick,rtu_id,top_level_label,subtype_label
0.0,368.825,250.605,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0137,0.3626,0.0,0.0,0.0,0.0,0.0,0.9779,0.0221,-0.844,1.0,2.11,0.0,0.0,0.0,0.32487,1,1,Natural Fault,line_trip
0.0,368.205,250.315,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0137,0.3626,0.0,0.0,0.0,0.0,0.0,0.9778,0.0222,0.418,1.0,1.045,0.0,0.0,0.0,0.0009,1,2,Natural Fault,line_trip
0.0,367.825,250.365,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0137,0.3626,0.0,0.0,0.0,0.0,0.0,0.9813,0.0187,0.42,1.0,1.05,0.0,0.0,0.0,0.0034,1,3,Natural Fault,line_trip
0.0,367.585,250.445,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0137,0.3626,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.006,3.0,0.015,0.0,0.0,0.0,0.9779,1,4,Natural Fault,line_trip
0.0,367.42,250.5,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0137,0.3626,0.0,0.0,0.0,0.0,0.0,0.9759,0.0241,0.18,1.0,0.45,0.0,0.0,0.0,0.0019,1,5,Natural Fault,line_trip
0.0,282.137,238.534,1.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0251,0.0926,0.0,0.0,0.0,0.0,0.0,0.9809,0.0191,-0.852,1.0,0.8,0.003,0.008,0.008,0.32947,2,1,Natural Fault,line_trip
0.0,281.59,238.277,1.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0251,0.0926,0.0,0.0,0.0,0.0,0.0,0.9755,0.0245,0.424,1.0,0.6,0.0023,0.006,0.012,0.00325,2,2,Natural Fault,line_trip
0.0,281.26,238.276,1.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0251,0.0926,0.0,0.0,0.0,0.0,0.0,0.9788,0.0212,0.418,1.0,0.2,0.0025,0.002,0.004,0.0021,2,3,Natural Fault,line_trip
0.0,280.97,238.368,1.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0251,0.0926,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.002,3.0,0.4,0.0,0.004,0.001,0.9809,2,4,Natural Fault,line_trip
0.0,280.8,238.41,1.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0251,0.0926,0.0,0.0,0.0,0.0,0.0,0.9766,0.0234,0.191,1.0,1.1,0.0007,0.011,0.003,0.0011,2,5,Natural Fault,line_trip
0.0,279.866,186.435,1.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.804,0.2533,0.0,0.0,0.0,0.0,0.0,0.9794,0.0206,-0.856,1.0,1.2,0.00075,0.006,0.0015,0.32787,3,1,Natural Fault,line_trip
0.0,278.858,186.264,1.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.804,0.2533,0.0,0.0,0.0,0.0,0.0,0.9788,0.0212,0.426,1.0,0.8,0.0005,0.004,0.0045,0.00045,3,2,Natural Fault,line_trip
0.0,278.476,186.254,1.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.804,0.2533,0.0,0.0,0.0,0.0,0.0,0.9758,0.0242,0.422,1.0,0.2,0.00275,0.001,0.0035,0.0036,3,3,Natural Fault,line_trip
0.0,278.064,186.312,1.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.804,0.2533,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.005,3.0,1.1,0.0,0.0055,0.001,0.9794,3,4,Natural Fault,line_trip
0.0,277.688,186.333,1.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.804,0.2533,0.0,0.0,0.0,0.0,0.0,0.9773,0.0227,0.189,1.0,0.9,0.0007,0.0045,0.001,0.0015,3,5,Natural Fault,line_trip
0.0,251.723,181.452,1.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,3.1579,0.2853,0.0,0.0,0.0,0.0,0.0,0.9817,0.0183,-0.852,1.0,0.0,0.0004,0.0,0.0005,0.32907,4,1,Natural Fault,line_trip
